date,venue_id,event_type,title,start_hour,pre_pu_lift_pct,pre_do_lift_pct,event_pu_lift_pct,event_do_lift_pct,post_pu_lift_pct,post_do_lift_pct,post_pu_trips,post_do_trips
2019-03-17,st_patricks,StreetClosure,NYC St. Patrick's Day Parade 2019,11,11.1,39.7,20.6,34.3,49.5,55.5,5391,5657
2019-03-21,msg,Concert,Billy Joel MSG residency,20,83.2,79.9,60.5,60.9,69.4,64.2,3660,1699
2019-03-28,yankee,MLB,Baltimore Orioles @ New York Yankees,13,8.0,46.7,8.2,18.3,24.9,19.7,2580,2217
2019-03-30,yankee,MLB,Baltimore Orioles @ New York Yankees,13,24.7,74.5,28.3,44.1,36.3,40.3,2864,2791
2019-03-31,yankee,MLB,Baltimore Orioles @ New York Yankees,13,41.4,82.1,37.4,56.8,28.6,38.0,2282,2219
2019-04-01,yankee,MLB,Detroit Tigers @ New York Yankees,18,33.7,34.2,39.6,41.6,45.8,42.7,2061,1622
2019-04-02,yankee,MLB,Detroit Tigers @ New York Yankees,18,41.1,36.4,35.9,43.8,50.2,33.3,2345,1661
2019-04-03,yankee,MLB,Detroit Tigers @ New York Yankees,16,15.9,37.6,24.8,32.0,28.1,51.6,2540,2463
2019-04-04,citi,MLB,Washington Nationals @ New York Mets,13,15.0,85.2,15.1,17.5,36.4,6.1,1449,1190
2019-04-06,citi,MLB,Washington Nationals @ New York Mets,13,35.9,113.7,30.8,63.4,59.8,36.2,2681,2289
2019-04-07,citi,MLB,Washington Nationals @ New York Mets,13,26.9,87.1,34.9,38.0,43.6,22.7,1916,1504
2019-04-09,citi,MLB,Minnesota Twins @ New York Mets,19,36.6,57.5,50.4,44.5,62.2,36.8,1611,1125
2019-04-10,citi,MLB,Minnesota Twins @ New York Mets,19,11.0,25.6,48.2,37.2,57.4,36.4,1765,1217
2019-04-12,yankee,MLB,Chicago White Sox @ New York Yankees,19,34.4,46.3,44.7,48.7,75.1,52.5,3441,2829
2019-04-13,yankee,MLB,Chicago White Sox @ New York Yankees,13,31.6,64.1,31.2,42.0,44.3,40.7,3035,2800
2019-04-14,yankee,MLB,Chicago White Sox @ New York Yankees,13,31.8,65.7,21.8,47.6,40.3,34.8,2494,2167
